timestamp,latitude,longitude,altitude,waypoint_segment,segment_distance_nm,distance_in_segment_nm,cumulative_distance_nm,total_route_distance_nm
150,2.161111,107.845556,37637.0,SABIP-BOBOB,46.46,0.0,0.0,275.48
160,2.165524,107.829683,37274.0,SABIP-BOBOB,46.46,0.99,0.99,275.48
170,2.169937,107.81381,36911.0,SABIP-BOBOB,46.46,1.98,1.98,275.48
180,2.174349,107.797938,36548.0,SABIP-BOBOB,46.46,2.97,2.97,275.48
190,2.178762,107.782065,36185.0,SABIP-BOBOB,46.46,3.95,3.95,275.48
200,2.183174,107.766192,35822.0,SABIP-BOBOB,46.46,4.94,4.94,275.48
210,2.187586,107.750319,35459.0,SABIP-BOBOB,46.46,5.93,5.93,275.48
220,2.191998,107.734446,35096.0,SABIP-BOBOB,46.46,6.92,6.92,275.48
230,2.19641,107.718573,35000.0,SABIP-BOBOB,46.46,7.91,7.91,275.48
240,2.200821,107.7027,35000.0,SABIP-BOBOB,46.46,8.9,8.9,275.48
250,2.205233,107.686826,35000.0,SABIP-BOBOB,46.46,9.88,9.88,275.48
260,2.209644,107.670953,35000.0,SABIP-BOBOB,46.46,10.87,10.87,275.48
270,2.214055,107.655079,35000.0,SABIP-BOBOB,46.46,11.86,11.86,275.48
280,2.218466,107.639206,35000.0,SABIP-BOBOB,46.46,12.85,12.85,275.48
290,2.222877,107.623332,35000.0,SABIP-BOBOB,46.46,13.84,13.84,275.48
300,2.227287,107.607458,35000.0,SABIP-BOBOB,46.46,14.83,14.83,275.48
310,2.231698,107.591584,35000.0,SABIP-BOBOB,46.46,15.82,15.82,275.48
320,2.236108,107.57571,35000.0,SABIP-BOBOB,46.46,16.8,16.8,275.48
330,2.240518,107.559836,35000.0,SABIP-BOBOB,46.46,17.79,17.79,275.48
340,2.244928,107.543962,35000.0,SABIP-BOBOB,46.46,18.78,18.78,275.48
350,2.249338,107.528087,35000.0,SABIP-BOBOB,46.46,19.77,19.77,275.48
360,2.253747,107.512213,35000.0,SABIP-BOBOB,46.46,20.76,20.76,275.48
370,2.258156,107.496339,35000.0,SABIP-BOBOB,46.46,21.75,21.75,275.48
380,2.262566,107.480464,35000.0,SABIP-BOBOB,46.46,22.74,22.74,275.48
390,2.266975,107.464589,35000.0,SABIP-BOBOB,46.46,23.72,23.72,275.48
400,2.271384,107.448715,35000.0,SABIP-BOBOB,46.46,24.71,24.71,275.48
410,2.275792,107.43284,35000.0,SABIP-BOBOB,46.46,25.7,25.7,275.48
420,2.280201,107.416965,35000.0,SABIP-BOBOB,46.46,26.69,26.69,275.48
430,2.284609,107.40109,35000.0,SABIP-BOBOB,46.46,27.68,27.68,275.48
440,2.289017,107.385214,35000.0,SABIP-BOBOB,46.46,28.67,28.67,275.48
450,2.293425,107.369339,35000.0,SABIP-BOBOB,46.46,29.65,29.65,275.48
460,2.297833,107.353464,35000.0,SABIP-BOBOB,46.46,30.64,30.64,275.48
470,2.30224,107.337588,35000.0,SABIP-BOBOB,46.46,31.63,31.63,275.48
480,2.306648,107.321713,35000.0,SABIP-BOBOB,46.46,32.62,32.62,275.48
490,2.311055,107.305837,35000.0,SABIP-BOBOB,46.46,33.61,33.61,275.48
500,2.315462,107.289961,35000.0,SABIP-BOBOB,46.46,34.6,34.6,275.48
510,2.319869,107.274085,35000.0,SABIP-BOBOB,46.46,35.59,35.59,275.48
520,2.324276,107.25821,35000.0,SABIP-BOBOB,46.46,36.57,36.57,275.48
530,2.328682,107.242333,35000.0,SABIP-BOBOB,46.46,37.56,37.56,275.48
540,2.333089,107.226457,35000.0,SABIP-BOBOB,46.46,38.55,38.55,275.48
550,2.337495,107.210581,35000.0,SABIP-BOBOB,46.46,39.54,39.54,275.48
560,2.341901,107.194705,35000.0,SABIP-BOBOB,46.46,40.53,40.53,275.48
570,2.346307,107.178828,35000.0,SABIP-BOBOB,46.46,41.52,41.52,275.48
580,2.350713,107.162952,35000.0,SABIP-BOBOB,46.46,42.5,42.5,275.48
590,2.355118,107.147075,35000.0,SABIP-BOBOB,46.46,43.49,43.49,275.48
600,2.359523,107.131198,35000.0,SABIP-BOBOB,46.46,44.48,44.48,275.48
