timestamp,latitude,longitude,altitude,waypoint_segment,segment_distance_nm,distance_in_segment_nm,cumulative_distance_nm,total_route_distance_nm
450,4.206944,105.003889,37637.0,DAMOG-SUSAR,20.65,0.0,0.0,167.22
460,4.196139,105.016234,37274.0,DAMOG-SUSAR,20.65,0.98,0.98,167.22
470,4.185334,105.028578,36911.0,DAMOG-SUSAR,20.65,1.97,1.97,167.22
480,4.174529,105.040922,36548.0,DAMOG-SUSAR,20.65,2.95,2.95,167.22
490,4.163723,105.053265,36185.0,DAMOG-SUSAR,20.65,3.93,3.93,167.22
500,4.152918,105.065609,35822.0,DAMOG-SUSAR,20.65,4.92,4.92,167.22
510,4.142112,105.077952,35459.0,DAMOG-SUSAR,20.65,5.9,5.9,167.22
520,4.131306,105.090294,35096.0,DAMOG-SUSAR,20.65,6.88,6.88,167.22
530,4.120499,105.102636,35000.0,DAMOG-SUSAR,20.65,7.87,7.87,167.22
540,4.109693,105.114978,35000.0,DAMOG-SUSAR,20.65,8.85,8.85,167.22
550,4.098886,105.12732,35000.0,DAMOG-SUSAR,20.65,9.83,9.83,167.22
560,4.088079,105.139661,35000.0,DAMOG-SUSAR,20.65,10.82,10.82,167.22
570,4.077272,105.152002,35000.0,DAMOG-SUSAR,20.65,11.8,11.8,167.22
580,4.066465,105.164343,35000.0,DAMOG-SUSAR,20.65,12.79,12.79,167.22
590,4.055657,105.176683,35000.0,DAMOG-SUSAR,20.65,13.77,13.77,167.22
600,4.04485,105.189023,35000.0,DAMOG-SUSAR,20.65,14.75,14.75,167.22
610,4.034042,105.201362,35000.0,DAMOG-SUSAR,20.65,15.74,15.74,167.22
620,4.023234,105.213702,35000.0,DAMOG-SUSAR,20.65,16.72,16.72,167.22
630,4.012426,105.226041,35000.0,DAMOG-SUSAR,20.65,17.7,17.7,167.22
640,4.001617,105.238379,35000.0,DAMOG-SUSAR,20.65,18.69,18.69,167.22
650,3.990809,105.250718,35000.0,DAMOG-SUSAR,20.65,19.67,19.67,167.22
660,3.98,105.263056,35000.0,DAMOG-SUSAR,20.65,20.65,20.65,167.22
670,3.98,105.263056,35000.0,SUSAR-MUMSO,21.88,0.0,20.65,167.22
680,3.969042,105.275508,35000.0,SUSAR-MUMSO,21.88,0.99,21.65,167.22
690,3.958084,105.287961,35000.0,SUSAR-MUMSO,21.88,1.99,22.64,167.22
700,3.947126,105.300413,35000.0,SUSAR-MUMSO,21.88,2.98,23.64,167.22
710,3.936168,105.312865,35000.0,SUSAR-MUMSO,21.88,3.98,24.63,167.22
720,3.92521,105.325317,35000.0,SUSAR-MUMSO,21.88,4.97,25.63,167.22
730,3.914251,105.337768,35000.0,SUSAR-MUMSO,21.88,5.97,26.62,167.22
740,3.903292,105.350219,35000.0,SUSAR-MUMSO,21.88,6.96,27.62,167.22
750,3.892333,105.36267,35000.0,SUSAR-MUMSO,21.88,7.96,28.61,167.22
760,3.881374,105.37512,35000.0,SUSAR-MUMSO,21.88,8.95,29.6,167.22
770,3.870415,105.38757,35000.0,SUSAR-MUMSO,21.88,9.95,30.6,167.22
780,3.859455,105.400019,35000.0,SUSAR-MUMSO,21.88,10.94,31.59,167.22
790,3.848496,105.412469,35000.0,SUSAR-MUMSO,21.88,11.93,32.59,167.22
800,3.837536,105.424918,35000.0,SUSAR-MUMSO,21.88,12.93,33.58,167.22
810,3.826576,105.437366,35000.0,SUSAR-MUMSO,21.88,13.92,34.58,167.22
820,3.815616,105.449815,35000.0,SUSAR-MUMSO,21.88,14.92,35.57,167.22
830,3.804655,105.462263,35000.0,SUSAR-MUMSO,21.88,15.91,36.57,167.22
840,3.793695,105.474711,35000.0,SUSAR-MUMSO,21.88,16.91,37.56,167.22
850,3.782734,105.487158,35000.0,SUSAR-MUMSO,21.88,17.9,38.56,167.22
860,3.771773,105.499605,35000.0,SUSAR-MUMSO,21.88,18.9,39.55,167.22
870,3.760812,105.512052,35000.0,SUSAR-MUMSO,21.88,19.89,40.54,167.22
880,3.74985,105.524498,35000.0,SUSAR-MUMSO,21.88,20.89,41.54,167.22
890,3.738889,105.536944,35000.0,SUSAR-MUMSO,21.88,21.88,42.53,167.22
900,3.738889,105.536944,35000.0,MUMSO-ELGOR,21.38,0.0,42.53,167.22
910,3.7277,105.549712,35000.0,MUMSO-ELGOR,21.38,1.02,43.55,167.22
920,3.716511,105.56248,35000.0,MUMSO-ELGOR,21.38,2.04,44.57,167.22
930,3.705322,105.575247,35000.0,MUMSO-ELGOR,21.38,3.05,45.59,167.22
940,3.694133,105.588013,35000.0,MUMSO-ELGOR,21.38,4.07,46.61,167.22
950,3.682944,105.60078,35000.0,MUMSO-ELGOR,21.38,5.09,47.62,167.22
960,3.671754,105.613546,35000.0,MUMSO-ELGOR,21.38,6.11,48.64,167.22
970,3.660564,105.626312,35000.0,MUMSO-ELGOR,21.38,7.13,49.66,167.22
980,3.649374,105.639077,35000.0,MUMSO-ELGOR,21.38,8.14,50.68,167.22
990,3.638184,105.651842,35000.0,MUMSO-ELGOR,21.38,9.16,51.7,167.22
1000,3.626994,105.664607,35000.0,MUMSO-ELGOR,21.38,10.18,52.71,167.22
1010,3.615804,105.677372,35000.0,MUMSO-ELGOR,21.38,11.2,53.73,167.22
1020,3.604613,105.690136,35000.0,MUMSO-ELGOR,21.38,12.22,54.75,167.22
1030,3.593422,105.7029,35000.0,MUMSO-ELGOR,21.38,13.23,55.77,167.22
1040,3.582231,105.715664,35000.0,MUMSO-ELGOR,21.38,14.25,56.79,167.22
1050,3.57104,105.728427,35000.0,MUMSO-ELGOR,21.38,15.27,57.8,167.22
1060,3.559848,105.74119,35000.0,MUMSO-ELGOR,21.38,16.29,58.82,167.22
1070,3.548657,105.753952,35000.0,MUMSO-ELGOR,21.38,17.31,59.84,167.22
1080,3.537465,105.766715,35000.0,MUMSO-ELGOR,21.38,18.32,60.86,167.22
1090,3.526273,105.779477,35000.0,MUMSO-ELGOR,21.38,19.34,61.88,167.22
1100,3.515081,105.792239,35000.0,MUMSO-ELGOR,21.38,20.36,62.89,167.22
1110,3.503889,105.805,35000.0,MUMSO-ELGOR,21.38,21.38,63.91,167.22
